clase	gismu	
5	nutli	x_1 は x_2 （尺度／状態関係）において中性／中立； x_1 を中間点として x_2 が対立する
5	mutce	x_1 は x_2 （性質）に関して、 x_3 （極性）に対して凄い； x_1 はとても x_2
5	dukse	x_1 は x_2 （性質）が x_3 （基準）において過剰
5	cimni	x_1 は x_2 （次元／性質）に関して無限
5	mulno	x_1 （事）は完了している； x_1 は x_2 （性質）に関して、 x_3 （観点）において包括的／総体的
5	drani	x_1 は x_2 （性質）に関して x_3 （状況）のとき x_4 （基準）において正しい／正確／適宜
5	prane	x_1 は x_2 （性質）に関して完全／完璧／無傷／非の打ち所が無い
5	zasni	x_1 は x_2 （性質）に関して、 x_3 （観点）にとって一時的／過渡的／可変
5	vitno	x_1 は x_2 （性質）において x_3 の観点で永続的／恒久／不滅
5	curve	x_1 は x_2 （性質）に関して純粋
5	manfo	x_1 （物／事）は x_2 （性質）の点で均一／一様／同形／相同； x_1 にはむらが無い
5	vrici	x_1 （集合／群／個）は x_2 （性質）の点で種々雑多／様々／色とりどり
5	dikni	x_1 は x_2 （性質／動作）に関して x_3 （間隔）で周期的／規則的／循環する
5	vitci	x_1 は x_2 （性質／動作／状態）に関して不定／不規則的／断続的
5	stodi	x_1 は x_2 （性質）の面で x_3 （刺激／状況）にたいして不変／一定
5	cenba	x_1 は x_2 （性質）に関して x_3 （数量／度合）ほど x_4 （環境条件）において変化／変質／変身する／変わる
5	zenba	x_1 は x_2 （性質／数量）に関して x_3 （度合）だけ増える
5	jdika	x_1 は x_2 （性質）に関して x_3 （数量）ほど減る
5	cnici	x_1 は x_2 （性質）に関して整っている／整然としている
5	porsi	x_1 （並んだ集合）は x_2 （規則／基準）に従って x_3 （不整理の集合）を序列／順番化したもの； x_1 は列／連続体
5	kalsa	x_1 は x_2 （性質）に関して混沌
5	cnano	x_1 は性質 x_2 (ka, ni) に関する、 x_3 （集合）の観点 x_4 (si'o) による標準／平均／スタンダード
5	traji	x_1 は x_2 （性質）・ x_3 （極性）・ x_4 （集合／範囲）に関して極致（最上／最下）
5	mupli	x_1 は x_2 （性質）を x_3 （集合）について表す例／標本／サンプル／件
5	rirci	x_1 は x_2 （性質）に関して、 x_3 （集合）において珍しい／稀有
5	fadni	x_1 は x_2 （性質）・ x_3 （集合）において平凡／通常／普通
5	claxu	x_1 は x_2 を欠く； x_1 は x_2 無し
5	pindi	x_1 は x_2 （性質）に関して貧乏／貧しい／貧窮している
5	ricfu	x_1 は x_2 （性質）に関して裕福／豊か
5	kandi	x_1 は x_2 （性質）に関して x_3 （観点）にとって淡い／薄い
5	carmi	x_1 は x_2 （性質）に関して x_3 （観点）で激しい／強烈／激烈／猛烈／熱烈
5	ruble	x_1 は x_2 （性質）・ x_3 （基準）において弱い／ひ弱／虚弱／微弱／華奢
5	tsali	x_1 は x_2 （性質）に関して x_3 （観点）で強い
5	ralci	x_1 は x_2 （性質）に関して繊細／精巧／デリケート； x_1 には x_2 の機微がある
5	denmi	x_1 は x_2 （性質）に関して濃厚／高密度
5	banli	x_1 は x_2 （性質）に関して x_3 （基準）で偉大／壮大／尊大
5	sampu	x_1 は x_2 （性質）に関して簡単／単純
5	pluja	x_1 は x_2 （性質）が x_3 （基準）において複雑／煩雑
5	kantu	x_1 は x_2 （性質／動作）の量子
5	cmalu	x_1 は x_2 （性質）に関して、 x_3 （照合枠）において小さい
5	barda	x_1 は x_2 （性質）に関して、 x_3 （基準）で大きい
5	cinla	x_1 は x_2 （次元／方向）・ x_3 （照合枠）において細い
5	rotsu	x_1 は x_2 （次元／方向）・ x_3 （基準）において厚い
5	jarki	x_1 は x_2 （次元）・ x_3 （基準）において狭い
5	ganra	x_1 は x_2 （次元）・ x_3 （基準）において広い／幅がある／ワイド
5	tordu	x_1 は x_2 （方向）・ x_3 （尺度）に関して短い
5	clani	x_1 は x_2 （次元／方向）・ x_3 （照合枠）において長い
5	caxno	x_1 は x_2 （方向／性質）に関して x_3 （照合枠）・ x_4 （基準）で浅い／浅はか／薄い
5	condi	x_1 は x_2 （性質／方向）に関して x_3 （照合枠）・ x_4 （標準）において深い
5	trati	x_1 は x_2 （方向）に張っている
5	tinsa	x_1 は x_2 （方向）・ x_3 （力）にたいして x_4 （条件）で固定／硬直している； x_1 は x_2 の向きに動かない
5	makcu	x_1 は x_2 （性質）に関して成熟している； x_1 は成人／おとな
5	skari	x_1 は x_2 （色相）の、 x_3 （視覚者）にたいする、 x_4 （条件）における色
5	satci	x_1 は x_2 （基準）に関して x_3 （性質／数量）の点で精確
5	suksa	x_1 （事／状態）は x_2 （時点）において x_3 （性質）に関して突然／唐突／急／いきなり
5	slilu	x_1 は x_2 （歩度）で x_3 （集合）の間を振動する／揺れ渡る
5	girzu	x_1 は x_2 （共通性質）・ x_3 （集合）・ x_4 （関係）の組／チーム
6 Total	frica	x_1 は x_2 と、 x_3 （性質）に関して違う／異なる
6	mintu	x_1 は x_2 と、 x_3 （基準）において同種
6	dunli	x_1 は x_2 と x_3 （性質）に関して同等
6	xadba	x_1 は x_2 の、 x_3 （基準）での半分
6	simsa	x_1 は x_2 に、 x_3 （性質）の点で似ている／相似的； x_1 は x_2 のよう
6	panra	x_1 は x_2 に、 x_3 （性質）の相違を伴いながら、 x_4 （基準）において対応する／並立的である
6	mapti	x_1 は x_2 にたいして x_3 （性質）の点で相応しい／和合性がある； x_1 は x_2 に適する／合う
6	sarxe	x_1 は x_2 と x_3 （性質）の点で調和／和合している／なごみ合っている
6	drata	x_1 は x_2 ではない何か、 x_3 （基準）において； x_1 は他のもの
6	frica	x_1 は x_2 と、 x_3 （性質）に関して違う／異なる
6	dukti	x_1 は x_2 の正反対、 x_3 （基準／性質）において
6	lamji	x_1 は x_2 に、 x_3 （並列特性）・ x_4 （並列方向）で隣接する／隣り合う； x_1 は x_2 の隣
6	jibni	x_1 は x_2 に、 x_3 （性質）に関して近い／近似
6	darno	x_1 は x_2 から x_3 （性質）に関して遠い
6	zmadu	x_1 は x_2 よりも、 x_3 （性質／数量）の点で、 x_4 （度合）ほど卓越している／ x_3 が x_1 には x_2 よりももっとある
6	mleca	x_1 は x_2 よりも、 x_3 （性質）に関して x_4 （数量）ほど少ない
6	lidne	x_1 は x_2 を、 x_3 （序列）において先行する／先立つ／率先する； x_2 は x_1 に続く； x_1 は前者； x_2 は後者
6	jbini	x_1 は x_2 （集合）の間に在る、 x_3 （性質）に関して； x_1 は x_2 の中間
6	jimte	x_1 は x_2 の x_3 （性質）に関する限度／限界
6	bancu	x_1 は x_2 （境界／限度）を x_3 （照合点）について x_4 （性質／数量）だけ越している／超えている
6	ralju	x_1 は x_2 （集合）・ x_3 （性質）において主要／大本
6	vipsi	x_1 は x_2 （性質）に関して x_3 （者）の副官／補佐官／部下； x_3 は x_1 の上司
6	klesi	x_1 は x_2 （上位の枠組）・ x_3 （特質）の部門／カテゴリー／クラス／組／派／種類／タイプ
6	ranxi	x_1 （事）は x_2 （予想／期待）に x_3 （性質）の点で反する／皮肉的
6	rimni	x_1 は x_2 （音声）・ x_3 （言語／音韻論）・ x_4 （性質）について韻を踏む
7 Total	cizra	x_1 は x_2 にとって x_3 （性質）に関して怪しい／おかしい／風変わり／不思議
7	mansa	x_1 は x_2 （者）を x_3 （性質）に関して満足させる； x_2 は x_1 に満足している
7	vajni	x_1 （物／事）は x_2 （人／事）にとって、 x_3 （性質／理由）に関して重要／大事
7	cfipu	x_1 （事）は x_2 （観者）にとって x_3 （性質）の点で紛らわしい／混乱をまねく
7	cizra	x_1 は x_2 にとって x_3 （性質）に関して怪しい／おかしい／風変わり／不思議
7	xajmi	x_1 は x_2 （観察者）にとって x_3 （性質）の点で滑稽／おどけている
7	fange	x_1 は x_2 にたいして x_3 （性質）の点で異質／外来／別世界的／風変わり
7	zdile	x_1 （事）は x_2 （観点）にとって x_3 （性質）についておもしろい／愉しい； x_2 は x_1 を楽しむ
7	trina	x_1 は x_2 を x_3 （性質）で誘惑する； x_1 は x_2 にとって魅力的
7	melbi	x_1 は x_2 （審美者）にとって x_3 （性質）・ x_4 （審美基準）において美しい／綺麗／麗しい／ハンサム／かわいい
7	cnino	x_1 は x_2 （者）にとって、 x_3 （性質）・ x_4 （基準）に関して新しい
7	slabu	x_1 は x_2 （者）にとって x_3 （性質）に関して懐かしい／久しい
7	cinri	x_1 （事）は x_2 の関心を惹く； x_2 は x_1 に関心がある
7	misno	x_1 （人／物／事）は x_2 （郡）の間で有名
7	makfa	x_1 は x_2 （対象）に x_3 （者）が掛ける魔法／妖術／超自然的力
7	betri	x_1 は x_2 にとって悲劇／災難／惨事
7	dicra	x_1 （事）は x_2 （物／事）を x_3 （妨害性質）によって阻止／中断／妨害する
7	zunti	x_1 （事）は x_2 （事）に、 x_3 （性質）に関して干渉する／わりこむ
7	klina	x_1 （物／媒体）は x_2 （伝わるもの）に関して明らか／透過性がある／遮られていない； x_2 は減衰も散乱もあまりせずにそのまま伝わる
7	julne	x_1 は x_2 を通し x_3 を遮る、 x_4 （特性）の網／フィルター
7	pikta	x_1 は x_2 （者）を x_3 （事）について x_4 （条件）で許容する券／切符／チケット
7	jaspu	x_1 は x_2 （者）の、 x_3 （権限）によって x_4 （行動）を認可された旅券／パスポート
7	prali	x_1 は x_2 にとっての、 x_3 （行動／過程）によって得られた利益； x_2 は x_3 によって利する； x_1 は x_2 にとっての利点／アドバンテージ
7	xamgu	x_1 は x_2 にとって、 x_3 （基準）で良い／好ましい
7	xlali	x_1 は x_2 にとって、 x_3 （基準）で悪い／粗末
7	dirba	x_1 は x_2 （者）にとって貴重／あいらしい／大切
7	kargu	x_1 （物／性質／事）は x_2 （者）・ x_3 （基準）にとって高価／高額／高級
7	savru	x_1 は x_2 （者）・ x_3 （知覚体系）にたいする騒音／ノイズ
7	smaji	x_1 は x_2 （観察点）・ x_3 （基準）において静か／閑静／沈黙
7	cladu	x_1 は x_2 （観察基点）・ x_3 （照合枠）においてうるさい／やかましい
7	titla	x_1 は x_2 にとって甘い
7	slari	x_1 は x_2 （者）にとってすっぱい
7	kurki	x_1 は x_2 （者）にたいして苦い／ビター
7	cpina	x_1 は x_2 （味覚者）にとってからい／スパイシー
7	vindu	x_1 は x_2 にとって毒／中毒性がある
7	cidja	x_1 は x_2 （摂食者）のための食べ物／食糧／餌； x_1 は x_2 に栄養価を与える； x_1 は食用
7	livla	x_1 は x_2 のための燃料
7	kukte	x_1 は x_2 にとっておいしい／美味
7	pluka	x_1 （事）は x_2 にとって、 x_3 （条件）のもと快い／心地良い
7	rigni	x_1 は x_2 （者）にとって x_3 （条件）において不快／不愉快／いまいましい／吐き気をもよおさせる； x_2 は x_1 に愛想を尽かす／嫌悪感を覚える
7	ckape	x_1 は x_2 にとって x_3 （条件）において危険； x_1 はおっかない
7	gubni	x_1 は x_2 （群／共同体）のあいだで共有されている； x_1 は公共
7	sivni	x_1 （物／事）は x_2 （者）にとって内密／私的／プライベート
7	nobli	x_1 は x_2 （基準）において高貴／高潔／気高い／上流階級／貴族／エリート
7	censa	x_1 は x_2 （者／文化／宗教／グループ）にとって神聖／冒すことができない； x_2 は x_1 を神聖視する
7	zekri	x_1 （事）は x_2 （観点）にとって犯罪
7	nabmi	x_1 （事）は x_2 が遭遇した、 x_3 （状況／課業）における問題； x_1 は x_2 に熟考を要する
7	fanza	x_1 （事）は x_2 の気に障る／をいらいらさせる； x_2 は x_1 でを苛つく； x_1 は邪魔
7	spaji	x_1 （事）は x_2 にとって驚き／思いがけない／不意
7	jenca	x_1 （事）は x_2 を驚愕／動転／気絶させる
7	funca	x_1 （事／性質）は x_2 の運； x_1 はまぐれ／めぐり合わせ
7	zasti	x_1 は x_2 （観点）・ x_3 （認識体系）において実在する
7	xanri	x_1 は x_2 （者）による想像； x_1 は架空／想像上のもの／非現実
7	snuti	x_1 （事／状態）は x_2 （観点）にとって事故／偶然
7	tcaci	x_1 は x_2 の、 x_3 （条件）における習慣／慣習／風習／慣行／習性／性癖／慣わし
7	nandu	x_1 は x_2 にとって、 x_3 （条件）のもと難しい／難関
7	frili	x_1 （事）は x_2 （者）にとって x_3 （条件）において簡単／容易； x_2 は x_1 をた易くこなす
7	cuntu	x_1 は x_2 （者）が関わる沙汰／事態／催し
7	jibri	x_1 は x_2 （者）の職／仕事； x_2 は x_1 に就職している
9 Total	sance	x_1 は x_2 が発する音； x_2 は音がする
9	jvinu	x_1 は x_2 （物／所）・ x_3 （観点）の景観／景色／光景
9	panci	x_1 は x_2 （起源）の、 x_3 （嗅覚者）によって感知される匂い／薫り
9	tengu	x_1 （性質）は x_2 の（視覚と触覚上の）質感／手ざわり／舌ざわり
9	vrusi	x_1 （性質）は x_2 が発する味； x_2 には x_1 の風味がある
9	sance	x_1 は x_2 が発する音； x_2 は音がする
9	voksa	x_1 は x_2 （本体）の声
9	zgike	x_1 は x_2 に演奏／制作される音楽
9	tonga	x_1 は x_2 （音程）・ x_3 （音源）の音／トーン
9	ctino	x_1 は x_2 （物）・ x_3 （光）の陰／影
9	cfila	x_1 （性質）は x_2 の、 x_3 （問題／厄介／危険）をもたらす欠陥／欠点／弱点／不備／短所／落度／過失
9	jinzi	x_1 （性質）は x_2 に内在する； x_2 は本質的に x_1
9	cimde	x_1 は x_2 （事物）・ x_3 （原理）の次元
9	kampu	x_1 （性質）は x_2 （集合）の間で普遍／一般的； x_1 は普通
9	steci	x_1 （性質）は x_2 （個）の x_3 （集合）における特質／個性
9	cinje	x_1 は x_2 （箇所）におけるしわ； x_2 はくしゃくしゃ
9	punli	x_1 は x_2 （箇所）における、 x_3 （素材）の突起／隆起／ふくらみ／凸
9	fenra	x_1 は x_2 の割れ目／裂け目
9	skuro	x_1 は x_2 （物／表面）における溝／窪み／うね
9	kevna	x_1 は x_2 の穴； x_2 は x_1 （箇所）において貫通している
9	kruvi	x_1 は x_2 （本体）・ x_3 （箇所）における x_4 （特性）の湾曲； x_1 は曲線； x_2 は曲がっている
9	boxna	x_1 は x_2 （媒体）・ x_3 （波形）・ x_4 （波長）・ x_5 （周波数）の波／周期的形態
9	ctaru	x_1 は x_2 （所）・ x_3 （起因）の潮
9	jgena	x_1 は x_2 （物）の（間の）結び目／もつれ／こぶ
9	canlu	x_1 は x_2 （内容）が占める空間（三次元的広がり）； x_2 は x_1 を占める
9	junta	x_1 は x_2 （物体）の、 x_3 （環境）における重量／重さ
9	farna	x_1 は x_2 （物／事）・ x_3 （照合枠）の向き／方向／方角； x_3 から観て x_2 は x_1 のほうにある
9	detri	x_1 （数）は x_2 （事）・ x_3 （所）・ x_4 （暦）の日付
9	tcika	x_1 （時／分／秒）は x_2 （事）の、 x_3 （日）・ x_4 （所）における時刻
9	judri	x_1 は x_2 の、 x_3 （体系）における住所／宛先
9	stuzi	x_1 は x_2 （物／事）の本質的／恒久的な場所／現場
9	cmene	x_1 （文字列）は x_2 の、 x_3 （者）による名称； x_3 は x_2 を x_1 と呼ぶ； x_2 は x_1 と呼ばれている
9	tcita	x_1 は x_2 の x_3 （情報）を表す札／タグ
9	smuni	x_1 は x_2 （文字列／記号／表現）の、 x_3 （者）が認識する意味／解釈； x_3 は x_2 を x_1 と解釈する
9	vamji	x_1 （数量／性質）は x_2 （物／事）の、 x_3 （観点）・ x_4 （用途／査定）における価値； x_2 は x_3 にとって x_1 の値打ちがある
9	jdima	量 x_1 は商品 x_2 の、買い手 x_3 に対して売り手 x_4 が設定した価格／値段
9	janta	x_1 は x_2 （奉仕／サービス）に関する、 x_3 （者）宛ての x_4 （者）からの請求（書）／納品書
9	cteki	x_1 は x_2 （事）に関して x_3 （者）に x_4 （権威）が掛ける税
10 Total	darxi	x_1 は x_2 （対象本体）・ x_3 （対象箇所）を x_4 で打つ／叩く
10	darxi	x_1 は x_2 （対象本体）・ x_3 （対象箇所）を x_4 で打つ／叩く
10	jgari	x_1 は x_2 （対象本体）・ x_4 （対象箇所）を x_3 （ x_1 の部分）で掴む／握る
10	pencu	x_1 は x_2 （対象本体）・ x_3 （対象箇所）を x_4 で触る
10	tikpa	x_1 は x_2 （対象本体）・ x_3 （対象箇所）を x_4 で蹴る
10	batci	x_1 は x_2 （対象本体）・ x_3 （対象箇所）を x_4 で噛む
10	lacpu	x_1 は x_2 （対象本体）・ x_3 （対象箇所）を引く／引っ張る
10	catke	x_1 は x_2 （対象本体）・ x_3 （対象箇所）を押す
10	lafti	x_1 （力）は x_2 （対象本体）・ x_3 （対象箇所）を x_4 （重力）に対して持ち上げる／拾う／すくう
10	danre	x_1 （力）は x_2 を圧する； x_1 は圧力
10	polje	x_1 （力）は x_2 （対象本体）・ x_3 （対象箇所）をシワにする／折り目をつける
10	cinba	x_1 は x_2 （対象本体）・ x_3 （対象箇所）にキス／接吻／くちづけする
10	tunta	x_1 （物）は x_2 を刺す／突く／突き刺す／つつく； x_2 は x_1 に刺される
10	sraku	x_1 （物）は x_2 を掻く
10	satre	x_1 は x_2 を x_3 でなでる／愛撫する
10	mosra	x_1 は x_2 （物）と x_3 （物）の接触による摩擦； x_2 は x_3 に擦れる
10	kavbu	x_1 は x_2 を x_3 （罠／拘束力）で捕らえる／捕獲／捕捉／逮捕する
10	plixa	x_1 （者）は x_2 を x_3 （道具）で耕す／すき込む
10	zgana	x_1 は x_2 （対象）を x_3 （方法）・ x_4 （条件）で観察／観賞／鑑賞する
10	ganse	x_1 （者）は x_2 （性質）を x_3 （手段）によって、 x_4 （環境条件）のもと感知／感得する／感じ取る； x_1 は x_2 にたいして敏感／センシティヴ
10	lanli	x_1 は x_2 を x_3 （方法）で分析／調査する
10	catlu	x_1 は x_2 を見る／見つめる／見入る
10	tadni	x_1 は x_2 を学ぶ／研究する； x_1 は学生／研究家／学者
10	viska	x_1 は x_2 を x_3 （状態条件）のもと視覚する； x_1 には x_2 が見える； x_1 には視覚能力／光学的感知能力がある
10	tirna	x_1 は x_2 （対象音声）を x_3 （環境音声）にたいして聞く； x_2 が x_1 に聞こえる； x_1 には聴覚がある； x_2 は可聴音
10	sumne	x_1 は x_2 を嗅ぐ／匂う
10	pensi	x_1 は x_2 （概念）について思慮する／考慮する／熟考する／思いを巡らす； x_2 は考え深い
10	senva	x_1 は x_2 （事）を夢見る； x_2 は夢想／幻想
10	kucli	x_1 は x_2 にたいして好奇心がある／興味を覚える； x_1 は詮索好き
10	sanji	x_1 は x_2 （物／事）について意識がある； x_1 は x_2 を意識／認識している
10	jundi	x_1 は x_2 （物／者／事）にたいして懇ろ／注意深い／配慮がある／気を使っている
10	casnu	x_1 （群）は x_2 （題目）について話し合う／検討／討議／論議／談議／談合する
10	kelci	x_1 は x_2 （道具／方法）で遊ぶ
10	kancu	x_1 は x_2 （集合）について x_3 （数量）を x_4 （単位）で数える
10	merli	x_1 （者）は x_2 （対象）・ x_3 （単位数量）を x_4 （単位規格）・ x_5 （精度）で計測する
10	kanji	x_1 は x_2 （数量／事）を x_3 （データ）から x_4 （過程／手段）によって計算する／算出する
10	karbi	x_1 （者）は x_2 と x_3 を x_4 （性質）について比較する
10	cipra	x_1 （過程／事）は x_2 （性質）を x_3 について確かめる試験／実験／テスト
10	pilno	x_1 は x_2 （道具／機械／者）を x_3 （目的）のために使う／用いる
10	sazri	x_1 は x_2 を x_3 （目的）のために操作する
10	gidva	x_1 （者／物／事）は x_2 （者）を x_3 （事）について案内する
10	jitro	x_1 は x_2 を x_3 （動作／事）に関して制御／指揮／引率する
10	dasni	x_1 は x_2 を x_3 （着用様式）で着ている／履いている／被っている／身に付けている
10	djica	x_1 は x_2 （事）を x_3 （目的）のために欲する／求める
10	nitcu	x_1 は x_2 を x_3 （目的／行動）のために要する； x_2 が x_1 には必要
10	zukte	x_1 は x_2 （行動内容）を x_3 （目的／目標）のために行為／実行する
10	finti	x_1 は x_2 を x_3 （目的／機能）のために x_4 （既存要素）から創る／発明する／著する； x_1 は創作的
10	platu	x_1 （者）は x_2 （物／事）を x_3 （事）のために計画／設計／デザインする／企てる
10	cikre	x_1 は x_2 を x_3 （使用）のために修理／修復／修繕する／直す
10	kalte	x_1 は x_2 を x_3 （目的）のために狩る； x_1 は狩猟者
10	gunta	x_1 は x_2 を x_3 （目的）のために攻撃／侵攻する
10	galfi	x_1 は x_2 を x_3 に改変する／変える
10	fendi	x_1 （者）は x_2 を x_3 （部分／個）に x_4 （方法／区分）によって分ける
10	katna	x_1 （用具／刃／力）は x_2 を切って x_3 （部分）にする
10	zalvi	x_1 （表面／道具）は x_2 を挽いて／すり潰して x_3 （粉）にする
10	marxa	x_1 （力）は x_2 を x_3 （パルプ／泥状態）に潰す
10	ganzu	x_1 は x_2 を x_3 に、 x_4 （原理）に基づいて組織／編成／整頓する
10	zbasu	x_1 は x_2 を x_3 （素材）から造る／作る／工作する
10	fanri	x_1 は x_2 を x_3 （材料）から製造する
10	nivji	x_1 （者）は x_2 （布／物）を x_3 （紡ぎ糸／繊維）で編む
10	jivbu	x_1 は x_2 を x_3 （材料）から織る
10	cnemu	x_1 （者）は x_2 （者）を x_3 （特別事項）について x_4 （報奨／謝礼／褒美）で報いる
10	sfasa	x_1 （者）は x_2 （者）を x_3 （違反／侵害）のために x_4 （罰）でこらしめる／罰する／折檻／懲戒する
10	venfu	x_1 は x_2 （者）にたいし、 x_3 （事）に関して x_4 （行動）で復讐／報復／あだ討ち／リベンジする
10	ckasu	x_1 は x_2 （者）を x_3 （事／性質）について x_4 （行為）で嘲る／笑いものにする／ばかにする／ひやかす
10	xlura	x_1 （者）は x_2 （対象）を x_3 （行為／状態）へと x_4 （作用／感化力）で影響して誘う； x_4 を持つ x_1 に x_2 は感銘する
10	tcica	x_1 （事／経験）は x_2 を欺いて／騙して x_3 （事／状態）をさせる； x_2 は x_1 に惑わされて x_3 をする
10	raktu	x_1 は x_2 （者）にとって x_3 （問題）を起こす厄介／迷惑／困難
10	dapma	x_1 は x_2 を x_3 （運命）に呪いつける
10	bandu	x_1 は x_2 （物／状態）を x_3 （危険／脅威／可能性）から保護／守護する； x_1 は x_3 にたいして防御する
10	binra	x_1 は x_2 （者）を x_3 （危険／損害）にたいして x_4 （特典）で保証／保障／補償する
10	kajde	x_1 は x_2 （者）に x_3 （危険／脅威）を警告する
10	xendo	x_1 （者）は x_2 にたいして x_3 （行為）で親切／優しい
10	spuda	x_1 は x_2 （者／物／事）に x_3 （動作／発言）で返信する
10	rinsa	x_1 は x_2 の到着／出発に際して x_3 （動作）で挨拶する
10	selfu	x_1 （者）は x_2 （者）に x_3 （行動）によって奉仕する； x_1 は x_2 の使用人
